Product Name,Price,Shipping Info,Subtitle
"NEW DELL 16"" RYZEN 7 4.50GHz 16GB RAM 2TB SSD BACKLIT KEYBOARD WINDOWS 11 PRO",$949.00,+$111.97 delivery,Brand New
"New HP ProBook 450 G10 15.6"" FHD Intel i7-1355U 32GB 2TB SSD Webcam Win 11 Pro",$863.97,+$92.02 delivery,Brand New
"HP Laptop 15.6"" Touchscreen Intel i3 Upto 32GB RAM &2TB SSD Windows11 PRO&OFFICE",$409.00 to $619.00,+$125.09 delivery,Brand New
Dell Latitude 5590 NB i7-8650U 1.9GHz,$289.69 to $449.69,+$79.06 delivery,Very Good - Refurbished
Tuxedo Gemini 15 Gen2 Laptop-Blk-32GBRAM 2TBStorage NVIDIA GeForceRTX4050-Ubuntu,"$1,250.00",+$49.99 delivery,Pre-Owned
"Fujitsu LAPTOP U749 i7 64G DDR4 RAM 14"" FHD 2TB NMVe WIN 11 PRO + 2x Batterys",$345.08,+$117.28 delivery,Pre-Owned
UPGRADED ASUS ROG Strix G15 Advantaged Gaming Edition Laptop,"$1,200.00",+$472.05 delivery,Pre-Owned
LENOVO THINKPAD P52 15.6 FHD i7 32gb 2TB NVME NVIDIA P2000 Win 11 pro laptop,$529.99,+$99.61 delivery,Excellent - Refurbished
LG gram Pro 16-inch OLED  i7-13th 16Z90RS-K.ADC9U1 Ultra 7 32GB 2TB SSD,$899.99,+$93.08 delivery,Open Box
Lenovo ThinkPad Z16 4K+ OLED TOUCH✓Ryzen9 PRO 6950H✓32GB✓2TB✓RX 6500M✓4G LTE✓WTY,$934.00,+$105.72 delivery,Good - Refurbished
"NEW HP EliteBook 845 G8 14"" FHD Ryzen 7 Pro 5850U 64GB 2TB SSD WTY 2025 4G LTE",$579.99,+$95.27 delivery,Excellent - Refurbished
"HP  17.3"" HD+ Touchscreen Laptop, Intel i5-1335U,Backlit,Fingerprint,Win 11 Teal",$659.99 to $999.99,+$113.47 delivery,Brand New
"ASUS Zenbook OLED 14"" WUXGA Touch Laptop Intel Evo Ultra 7 16GB RAM 2TB SSD",$849.13 to $998.06,+$95.97 delivery,Brand New
ASUS Zenbook OLED 14” WUXGA Touch Laptop Intel Core Ultra 5 125H 8GB RAM 2TB SSD,$593.27 to $750.49,+$88.67 delivery,Brand New
Dell Latitude 7480 Intel Core i7 3.90GHz 64GB RAM 2TB NVMe m.2 SSD - Excellent,$249.95 to $909.95,+$84.82 delivery,Excellent - Refurbished
Alienware Laptop M18 R2 i9-14900HX 5.80GHZ 64GB 16GB 4090 RTX 2000GB Win 11 PRO,"$3,787.78",Shipping not specified,New (Other)
"2023 Lenovo IdeaPad Laptop 15.6"" Touch, Intel i3-1115G4, Upto 24GB RAM &2TB SSD",$379.00 to $549.00,+$86.48 delivery,Brand New
"Lenovo Yoga 7 2-in-1 Ryzen 7 8840HS 16"" Full HD+ Touch 16GB 4TB windows 11 pro",$750.00 to $980.00,+$98.44 delivery,Brand New
"15.6"" Dell Precision 5530 6 Core Xeon E-2167M Quadro P1000 64GB 2Tb SSD Win 11",$599.99,+$90.05 delivery,Excellent - Refurbished
"HP Spectre x360 14 Convertible 13.5"" WUXGA Core i5-1235U 8GB 2TB SSD Silver W11",$649.66,+$85.70 delivery,Certified - Refurbished
HP 2025 Newest Laptop 15.6'' Touchscreen Intel Core i3 up to 32GB RAM 2TB SSD US,$399.99 to $599.99,+$101.67 delivery,Brand New
HP Laptop Upto 64 GB Ram 4 TB SSD WINDOWS 11 PRO i7-1355u windows 11 pro,"$600.00 to $1,100.00",+$109.15 delivery,Brand New
"Dell Brand New Very High Spec Intel i5 Turbo 4.7Ghz RRP £1500, 64GB RAM, 2TB SSD","$681.65 to $1,240.51",+$76.60 shipping estimate,Brand New
"Lenovo ThinkPad X1 Carbon 14"" Touch i7-10610U 16GB RAM 4TB SSD 4G LTE + Win 11",$369.99 to $665.00,+$82.82 delivery,Very Good - Refurbished
"*NEW* HP 15.6"" Full HD Laptop - Intel Core i7 - Custom upto 64GB RAM & 4TB SSD","$599.00 to $1,099.00",+$101.82 delivery,Brand New
Alienware m16 r1 4080 64GB DDR5 2TB SSD,"$1,900.00",Shipping not specified,Pre-Owned
HP 17 Laptop 17.3 FHD IPS Display AMD Ryzen 5 5500U 32GB RAM 2TB SSD Win11 Pro,$483.85 to $675.16,+$98.08 delivery,Brand New
"2024 Lenovo IdeaPad Laptop 15.6"" FHD Touch Ryzen 7 5700U Upto 40GB RAM&2TB SSD",$529.00 to $719.00,+$110.98 delivery,Brand New
"HP Pavilion Laptop 15.6"" HD Touch Intel i3-1215U 64GB RAM,2TB SSD Win 11 pro",$669.99,+$97.93 delivery,Brand New
EXTREME GAMING LAPTOP i7 128GB RAM 2TB SSD NVIDIA WINDOWS 11 - BUILD YOUR OWN,"$856.90 to $1,366.08",+$101.39 shipping estimate,Very Good - Refurbished
"Dell 7420 14"" FHD Gaming Laptop Intel Quad Core i7-1185G7 16GB RAM 4TB SSD Win11",$329.99 to $582.00,+$79.87 delivery,Very Good - Refurbished
HP 17.3 FHD IPS Laptop AMD Ryzen 5 5500U 32GB RAM 2TB SSD Fingerprint Reader,$489.24 to $620.84,+$84.85 delivery,Brand New
"2024 HP Pavilion Laptop 15.6"" HD Touch Intel i3-1215U Upto 32GB RAM & 2TB SSD",$341.99 to $549.99,+$89.96 delivery,Brand New
Dell Latitude 5590 NB i7-8550U 1.8GHz,$289.69 to $449.69,+$79.06 delivery,Very Good - Refurbished
"Lenovo Ideapad 3i 15.6"" FHD Touch Laptop Intel Core i3-1115G4 40GB RAM 2TB SSD",$371.82 to $557.74,+$82.98 delivery,Brand New
Dell Precision 5510 Laptop Intel Core i7-6820HQ 2TB SSD 64GB RAM Windows 11 Pro,$496.75,+$70.22 shipping estimate,Very Good - Refurbished
